,Brazil.act.s.,Brazil.cl,China.act.s.,China.cl,India.act.s.,India.cl,Japan.act.s.,Japan.cl,USA.act.s.,USA.cl,avg.sess.time,local.req,tot.act.s.,tot.cl,tot.cost,range
00:20:01,2,1116,6,653,15,698,2,1883,2,7286,1.36675871491682,100,27,11636,5.4592,0
00:40:00,2,1199,6,615,15,699,2,1928,2,7289,1.36004919489767,100,27,11730,5.4592,1
01:00:01,2,1128,6,648,15,702,2,1900,2,7712,1.39037388383273,100,27,12090,5.4592,2
01:20:00,2,687,5,13109,15,431,2,1845,2,2257,1.33567252649617,100,26,18329,5.2256,3
01:40:00,2,690,5,12723,15,424,2,1805,2,2300,1.33240292635175,100,26,17942,5.2256,4
02:00:00,2,713,5,12826,15,409,2,1813,2,2202,1.3323548412975,100,26,17963,5.2256,5
02:20:00,2,230,5,12369,15,448,2,2315,2,1394,1.33750269835374,100,26,16756,5.2256,6
02:40:00,2,220,5,12835,15,420,2,2144,2,1358,1.34200161968265,100,26,16977,5.2256,7
03:00:01,2,221,5,12748,15,444,2,2320,2,1310,1.3365529954228,100,26,17043,5.2256,8
03:20:00,2,222,5,15352,15,425,2,3116,2,432,1.36648195160671,100,26,19547,5.2256,9
03:40:00,2,229,5,15205,15,412,2,3072,2,452,1.36272867181029,100,26,19370,5.2256,10
04:00:00,2,228,5,14207,15,454,2,3084,2,433,1.34261461957087,100,26,18406,5.2256,11
04:20:00,2,230,5,21186,15,8854,13,3193,14,441,1.38360145594968,100,49,33904,10,12
04:40:00,13,226,5,20994,15,8996,13,3284,14,429,1.38044992085038,100,60,33929,12.9568,13
05:00:00,13,236,5,22935,15,9520,13,3482,14,441,1.41273136851156,100,60,36614,12.9568,14
05:20:00,15,181,5,23416,15,8743,13,3217,14,464,1.42161388102695,100,62,36021,13.4944,15
05:40:00,13,179,5,23172,15,8722,13,2961,14,447,1.40533029652946,100,60,35481,12.9568,16
06:00:00,13,191,5,22990,15,8803,13,3125,14,477,1.63100327935799,99,60,35586,12.9568,17
06:20:01,15,190,5,21477,15,10637,15,2814,14,365,1.38194986862176,99,64,35483,14.3616,18
06:40:00,13,186,5,22268,15,10224,13,2869,14,368,1.39021870469836,99,60,35915,12.9568,19
07:00:00,13,180,5,21519,15,10179,13,2915,14,368,1.39930991261257,99,60,35161,12.9568,20
