,Brazil.cl,Brazil.servers,China.cl,China.servers,India.cl,India.servers,Japan.cl,Japan.servers,USA.cl,USA.servers,avg.sess.time,local.req,range,tot.cl,tot.cost,tot.servers
00:20:01,1116,1,653,2,698,2,1883,1,7286,2,20.74028640852,41,0,11636,1.7088,8
00:40:00,1199,1,615,2,699,2,1928,1,7289,2,22.523907320794645,44,1,11730,1.7088,8
01:00:01,1128,1,648,2,702,2,1900,1,7712,2,22.3037430295278,45,2,12090,1.7088,8
01:20:00,687,2,13109,3,431,3,1845,2,2257,2,28.202687637865974,47,3,18329,2.6079999999999997,12
01:40:00,690,2,12723,3,424,3,1805,2,2300,2,28.768664490973045,48,4,17942,2.6079999999999997,12
02:00:00,713,3,12826,3,409,3,1813,2,2202,3,22.56369848728823,50,5,17963,3.0751999999999997,14
02:20:00,230,3,12369,3,448,3,2315,2,1394,3,20.850738178364722,51,6,16756,3.0751999999999997,14
02:40:00,220,3,12835,3,420,3,2144,2,1358,3,20.729039478995578,52,7,16977,3.0751999999999997,14
03:00:01,221,3,12748,3,444,3,2320,2,1310,3,20.66356355893154,52,8,17043,3.0751999999999997,14
03:20:00,222,3,15352,4,425,4,3116,3,432,3,21.243917065653925,51,9,19547,3.7056000000000004,17
03:40:00,229,3,15205,4,412,4,3072,3,452,3,26.27662509846982,52,10,19370,3.7056000000000004,17
04:00:00,228,3,14207,4,454,4,3084,3,433,3,17.754257049211745,53,11,18406,3.7056000000000004,17
04:20:00,230,5,21186,6,8854,5,3193,5,441,5,25.06088550232249,54,12,33904,5.7216,26
04:40:00,226,5,20994,6,8996,5,3284,5,429,5,21.603697512457,56,13,33929,5.7216,26
05:00:00,236,5,22935,6,9520,5,3482,5,441,5,21.359438205769354,56,14,36614,5.7216,26
05:20:00,181,5,23416,6,8743,5,3217,5,464,5,22.112089849829967,57,15,36021,5.7216,26
05:40:00,179,5,23172,6,8722,5,2961,5,447,5,25.360103527563144,57,16,35481,5.7216,26
06:00:00,191,5,22990,6,8803,5,3125,5,477,5,21.99466198617239,57,17,35586,5.7216,26
06:20:01,190,5,21477,6,10637,5,2814,5,365,5,22.56245660280945,58,18,35483,5.7216,26
06:40:00,186,5,22268,6,10224,5,2869,5,368,5,22.726543339791196,58,19,35915,5.7216,26
07:00:00,180,5,21519,6,10179,5,2915,5,368,5,22.65215829816958,58,20,35161,5.7216,26
07:20:01,178,5,20485,6,15074,5,3749,5,344,5,22.070472829343768,58,21,39830,5.7216,26
07:40:00,183,5,20063,6,14796,5,3814,5,376,5,25.725181117712648,58,22,39232,5.7216,26
08:00:01,183,5,20504,6,14483,5,3753,5,376,5,26.888464379557597,58,23,39299,5.7216,26
08:20:00,192,6,25297,6,15379,6,4394,5,352,6,25.859786170543412,58,24,45614,6.367999999999999,29
08:40:00,186,7,26132,8,15241,8,4438,7,371,8,24.316798639179797,58,25,46368,8.2944,38
09:00:00,183,7,25786,8,15786,8,4420,7,378,8,22.088359165640803,59,26,46553,8.2944,38
09:20:00,122,7,31548,8,14435,8,3712,7,366,8,22.23691484271295,59,27,50183,8.2944,38
09:40:00,115,7,30950,8,14248,8,3875,7,358,8,22.22997597225863,59,28,49546,8.2944,38
10:00:00,114,7,32458,8,14180,8,3737,7,352,8,22.163769684590807,59,29,50841,8.2944,38
10:20:00,111,7,27752,8,14280,8,3520,7,211,8,22.73495923416601,59,30,45874,8.2944,38
10:40:00,117,7,26150,8,13311,8,3500,7,215,8,15.167662763772263,60,31,43293,8.2944,38
11:00:00,117,7,25811,8,13982,8,3438,7,223,8,13.918702714361103,60,32,43571,8.2944,38
11:20:00,115,7,25322,8,17233,8,2831,7,215,8,13.192027353806637,61,33,45716,8.2944,38
11:40:00,115,7,23775,8,17731,8,3006,7,230,8,20.0242660034327,61,34,44857,8.2944,38
12:00:01,121,7,23675,8,17665,8,2972,7,222,8,22.620370828446926,62,35,44655,8.2944,38
12:20:01,2322,7,20442,8,21781,8,941,7,234,8,4.146818056962079,63,36,45720,8.2944,38
12:40:00,2488,7,20557,8,21439,8,947,7,235,8,1.6729822792206241,64,37,45666,8.2944,38
13:00:00,2277,7,21706,8,20559,8,903,7,223,8,1.6831803248811406,65,38,45668,8.2944,38
13:20:04,2380,7,6682,8,18089,8,528,7,4533,8,1.591513839898397,66,39,32212,8.2944,38
13:40:03,2332,7,6249,8,19312,8,547,7,4367,8,1.5910413183784746,67,40,32807,8.2944,38
14:00:00,2282,7,6314,8,19222,8,526,7,4550,8,1.6077503701577323,68,41,32894,8.2944,38
14:20:04,2703,7,3933,8,16538,8,176,7,4461,8,1.58963138311901,68,42,27811,8.2944,38
14:40:01,2788,7,3804,8,16698,8,175,7,4643,8,1.590702488961047,69,43,28108,8.2944,38
15:00:04,2846,7,3927,8,15739,8,181,7,4474,8,1.5745841580202145,70,44,27167,8.2944,38
15:20:01,3954,7,1206,8,13878,8,186,7,5496,8,1.575755299852957,70,45,24720,8.2944,38
15:40:02,4015,7,1260,8,13394,8,192,7,5377,8,1.5695691095773896,70,46,24238,8.2944,38
16:00:04,3782,7,1315,8,14242,8,187,7,5011,8,1.5742173125025034,71,47,24537,8.2944,38
16:20:09,4041,7,1276,8,4420,8,190,7,7830,8,1.5262746735522548,71,48,17757,8.2944,38
16:40:02,4126,7,1339,8,4378,8,180,7,7717,8,1.5375326026074323,72,49,17740,8.2944,38
17:00:06,3993,7,1272,8,4470,8,186,7,7819,8,1.526756482426671,72,50,17740,8.2944,38
17:20:03,4235,7,1253,8,2642,8,143,7,8137,8,1.5289992447500664,72,51,16410,8.2944,38
17:40:05,4029,7,1338,8,2506,8,146,7,8294,8,1.5296908031555576,72,52,16313,8.2944,38
18:00:02,4247,7,1232,8,2543,8,147,7,7941,8,1.5409331182746182,73,53,16110,8.2944,38
18:20:03,3680,7,954,8,848,8,148,7,7676,8,1.522812257214719,73,54,13306,8.2944,38
18:40:02,3583,7,984,8,840,8,146,7,7410,8,1.5286741394353016,73,55,12963,8.2944,38
19:00:02,3578,7,1038,8,844,8,138,7,7884,8,1.5359111988715017,73,56,13482,8.2944,38
19:20:07,4573,7,992,8,847,8,148,7,7203,8,1.5432274614803605,73,57,13763,8.2944,38
